Branding and Model,Releasedate,Clock (GHz) Base,Cores (Threads),Cores,Threads,TDP
Ryzen 7 1800X,2017-03-02,3.6,8 (16),8,16,95.0
Ryzen 7 1700X,2017-03-02,3.4,8 (16),8,16,95.0
Ryzen 7 1700,2017-03-02,3.0,8 (16),8,16,65.0
Ryzen 5 1600X,2017-04-11,3.6,6 (12),6,12,95.0
Ryzen 5 1600,2017-04-11,3.2,6 (12),6,12,65.0
Ryzen 5 1500X,2017-04-11,3.5,4 (8),4,8,65.0
Ryzen 5 1400,2017-04-11,3.2,4 (8),4,8,65.0
Ryzen 3 1300X,2017-07-27,3.5,4 (4),4,4,65.0
Ryzen 3 1200,2017-07-27,3.1,4 (4),4,4,65.0
RyzenThreadripper 1950X,2017-08-31,3.4,16 (32),16,32,180.0
RyzenThreadripper 1920X,2017-08-31,3.5,12 (24),12,24,180.0
RyzenThreadripper 1900X,2017-08-31,3.8,8 (16),8,16,180.0
Ryzen 5 2400G,2018-02-12,3.6,4 (8),4,8,55.5
Ryzen 5 2400GE,2018-04-19,3.2,4 (8),4,8,35.0
Ryzen 3 2200G,2018-02-12,3.5,4 (4),4,4,55.5
Ryzen 3 2200GE,2018-04-19,3.2,4 (4),4,4,35.0
Ryzen 3 PRO 2100GE,2019-01-01,3.2,2 (4),2,4,35.0
Ryzen 7 2700X,2018-04-19,3.7,8 (16),8,16,105.0
Ryzen 7 2700,2018-04-19,3.2,8 (16),8,16,65.0
Ryzen 7 2700E,2018-09-19,2.8,8 (16),8,16,45.0
Ryzen 5 2600X,2018-04-19,3.6,6 (12),6,12,95.0
Ryzen 5 2600,2018-04-19,3.4,6 (12),6,12,65.0
Ryzen 5 2600E,2018-09-19,3.1,6 (12),6,12,45.0
Ryzen 5 1600 (AF),2019-10-11,3.2,6 (12),6,12,65.0
Ryzen 5 2500X,2018-09-10,3.6,4 (8),4,8,65.0
Ryzen 3 2300X,2018-09-10,3.5,4 (4),4,4,65.0
Ryzen 3 1200 (AF),2020-04-21,3.1,4 (4),4,4,65.0
RyzenThreadripper 2990WX,2018-08-13,3.0,32 (64),32,64,250.0
RyzenThreadripper 2970WX,2018-10-02,3.0,24 (48),24,48,250.0
RyzenThreadripper 2950X,2018-08-31,3.5,16 (32),16,32,180.0
RyzenThreadripper 2920X,2018-10-03,3.5,12 (24),12,24,180.0
Ryzen 5 Pro 3400G,2019-09-30,3.7,4 (8),4,8,55.0
Ryzen 5 3400G,2019-07-07,3.7,4 (8),4,8,55.0
Ryzen 5 Pro 3400GE,2019-09-30,3.3,4 (8),4,8,35.0
Ryzen 5 Pro 3350G,2020-07-21,3.6,4 (8),4,8,55.0
Ryzen 5 Pro 3350GE,2020-07-21,3.3,4 (4),4,4,35.0
Ryzen 3 Pro 3200G,2019-09-30,3.6,4 (4),4,4,55.0
Ryzen 3 3200G,2019-07-07,3.6,4 (4),4,4,55.0
