Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
GeForce GT 640,5/29/13,8.37,16.7,803.3,49
GeForce GT 645,4/24/12,18.6,37.3,894,140
GeForce GTX 645,4/22/13,14.16,39.5,948.1,64
GeForce GTX 650,9/13/12,16.9,33.8,812.54,64
GeForce GTX 650 Ti,10/9/12,14.8,59.4,1425.41,110
GeForce GTX 650 Ti Boost,3/26/13,23.5,62.7,1505.28,134
GeForce GTX 660,9/13/12,23.5,78.4,1881.6,140
GeForce GTX 660,8/22/12,19.8,79,2108.6,130
GeForce GTX 660 Ti,8/16/12,22,102.5,2459.52,150
GeForce GTX 670,5/10/12,29.3,102.5,2459.52,170
GeForce GTX 680,3/22/12,32.2,128.8,3090.43,195
GeForce GTX 690,4/29/12,58.56,234.24,5621.76,300
GeForce GT 705,3/27/14,3.24,6.5,155.5,29
GeForce GT 710,1/26/16,7.6,15.3,366,19
GeForce GT 720,3/27/14,6.4,12.8,306,19
GeForce GT 730,6/18/14,7.22,14.44,692.7,23
GeForce GT 730,6/18/14,7.22,14.44,692.7,25
GeForce GT 730,6/18/14,2.8,11,268.8,49
GeForce GT 740,5/29/14,15.9,31.8,762.6,64
GeForce GT 740,5/29/14,15.9,31.8,762.6,64
GeForce GTX 745,2/18/14,16.5,24.8,793.3,55
GeForce GTX 750,2/18/14,16.3,32.6,1044.5,55
GeForce GTX 750 Ti,2/18/14,16.3,40.8,1305.6,60
GeForce GTX 760 192-bit,10/17/13,19.8,79.1,1896.2,130
GeForce GTX 760,6/25/13,31.4,94,2257.9,170
GeForce GTX 760 Ti,9/27/13,29.3,102.5,2459.5,170
GeForce GTX 770,5/30/13,33.5,134,3213.3,230
GeForce GTX 780,5/23/13,41.4,160.5,3976.7,230
GeForce GTX 780 Ti,11/7/13,42,210.2,5045.7,230
GeForce GTX TITAN,2/21/13,40.2,187.5,4499.7,230
GeForce GTX TITAN Black,2/18/14,42.7,213.4,5120.6,230
GeForce GTX TITAN Z,5/28/14,67.6,338,10092,375
GeForce GT 945A,2/1/16,8.5,25.7,1097.7,33
GeForce GT 945A,2/1/16,9.4,28.2,1204.2,33
GeForce GTX 950,8/20/15,32.7,49.1,1572.8,90
GeForce GTX 950,8/20/15,38,57,1824.7,90
GeForce GTX 960,1/22/15,36,72.1,2308,120
GeForce GTX 960,1/22/15,37.6,75.3,2412.5,120
GeForce GTX 970,9/18/14,58.8,109.2,3494.4,145
GeForce GTX 970,9/18/14,65.9,122.5,3920.3,145
GeForce GTX 980,9/18/14,72,144.1,4612,165
GeForce GTX 980,9/18/14,77.8,155.6,4980.7,165
GeForce GTX 980 Ti,6/1/15,96,176,5632,250
GeForce GTX 980 Ti,6/1/15,103.2,189.2,6054.4,250
GeForce GTX TITAN X,3/17/15,96,192,6144,250
GeForce GTX TITAN X,3/17/15,103.2,206.4,6604.8,250
GeForce GT 1010 ,1/13/21,9.8,19.7,628.7,30
GeForce GT 1010 ,1/13/21,11.8,23.5,751.6,30
GeForce GT 1010 ,1/13/21,9.2,18.4,590,20
GeForce GT 1010 ,1/13/21,11,22,706.6,20
GeForce GT 1030 ,3/12/18,18.4,27.6,884.7,20
GeForce GT 1030 ,3/12/18,22,33,1059,20
GeForce GT 1030 ,5/17/17,19.6,29.4,942.3,30
GeForce GT 1030 ,5/17/17,23.4,35.2,1127.4,30
GeForce GTX 1050,10/25/16,43.3,54.1,1733.1,75
GeForce GTX 1050,10/25/16,46.6,58.8,1862.4,75
GeForce GTX 1050,5/21/18,33.4,66.8,2138.1,75
GeForce GTX 1050,5/21/18,36.4,72.9,2331.6,75
GeForce GTX 1050 Ti,10/25/16,41.2,61.9,1981.4,75
GeForce GTX 1050 Ti,10/25/16,44.5,66.8,2138.1,75
GeForce GTX 1060,12/25/16,72.2,108.4,3469.8,120
GeForce GTX 1060,12/25/16,81.9,122.9,3935.2,120
GeForce GTX 1060,8/18/16,72.2,108.4,3469.8,120
GeForce GTX 1060,8/18/16,81.9,122.9,3935.2,120
GeForce GTX 1060,12/26/17,60.2,120.4,3855.3,120
GeForce GTX 1060,12/26/17,68.3,136.7,4375,120
