Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
RTX A2000 ,8/10/21,57.6,124.8,7987,70
RTX A2000 ,8/10/21,57.6,124.8,7987,70
RTX A4000 ,4/12/21,149.8,299.5,19170,140
RTX A5000 ,4/12/21,162.7,433.9,27770,230
RTX A6000 ,10/5/20,201.6,604.8,38709.7,300
NVS 290,10/4/07,1.84,3.68,44.16,21
NVS 295,5/7/09,2.2,4.4,31.2,23
NVS 300,1/8/11,2.356,4.712,67.3,17.5
NVS 310,6/26/12,2.092,4.184,100.4,19.5
NVS 315,3/10/13,2.092,4.184,100.4,19.5
NVS 400,7/16/04,0.88,1.76,10.656,18
NVS 420,1/20/09,4.4,8.8,62.4,40
NVS 450,11/11/08,4.4,8.8,62.4,35
NVS 510,10/23/12,3.188,12.75,306,35
NVS 810,11/4/15,16.53,33.06,1058,68
Quadro FX 360M,5/9/07,1.6,3.2,38.4,17
Quadro FX 1600M,6/1/07,5,10,120,50
Quadro FX 3600M,2/23/08,8,16,240,70
Quadro FX 3600M,2/23/08,8,24,360,70
Quadro FX 370M,8/15/08,2.2,2.2,33.6,20
Quadro FX 570M,6/1/07,3.8,7.6,91.2,45
Quadro FX 770M,8/14/08,4,8,119,35
Quadro FX 1700M,10/1/08,5,10,148.8,50
Quadro FX 2700M,8/14/08,8.48,12.72,190.8,65
Quadro FX 3700M,8/14/08,8.8,35.2,528,75
Quadro FX 380M,1/7/10,2.5,5,73.44,25
Quadro FX 880M,1/7/10,4.4,8.8,174.24,35
Quadro FX 1800M,6/15/09,3.6,10.8,233.28,45
Quadro FX 2800M,12/1/09,8,16,360,75
Quadro FX 3800M,8/14/08,10.8,43.2,648.192,100
Quadro 500M,2/22/11,2.8,11.2,268.8,35
Quadro 1000M,1/13/11,2.8,11.2,268.8,45
Quadro 2000M,1/13/11,8.8,17.6,422.4,55
Quadro 3000M,2/22/11,14.4,18,432,75
Quadro 4000M,2/22/11,15.2,26.6,638.4,100
Quadro 5000M,7/27/10,12.96,16.2,518.4,100
Quadro 5010M,2/22/11,14.4,21.6,691.2,100
Quadro K500M,6/1/12,6.8,13.6,326.4,35
Quadro K1000M,6/1/12,13.6,13.6,326.4,45
Quadro K2000M,6/1/12,11.92,23.84,572.16,55
Quadro K3000M,6/1/12,20.93,31.39,753.41,75
Quadro K4000M,6/1/12,19.2,48,1152,100
Quadro K5000M,8/7/12,22.59,79.07,1897.73,100
Quadro K510M,7/23/13,6.8,13.6,326.4,30
Quadro K610M,7/23/13,7.84,15.68,376.32,30
Quadro K1100M,7/23/13,11.45,22.91,549.89,45
Quadro K2100M,7/23/13,10.46,31.39,753.41,55
Quadro K3100M,7/23/13,21.76,43.52,1044.48,75
Quadro K4100M,7/23/13,22.59,67.77,1626.624,100
Quadro K5100M,7/23/13,24.67,98.68,2368.51,100
Quadro K2200M,7/19/14,18.4,46,1472,65
Quadro M500M,4/27/16,8.992,17.98,863.2,25
Quadro M600M,8/18/15,7.008,14.02,672.8,30
Quadro M1000M,8/18/15,15.89,31.78,1017,40
Quadro M2000M,12/3/15,17.57,43.92,1405,55
Quadro M3000M,8/18/15,33.6,67.2,2150,75
Quadro M4000M,8/18/15,62.4,78,2496,100
Quadro M5000M,8/18/15,62.4,93.6,2955.3,100
Quadro T1000,5/27/19,46.56,69.84,2235,45
Quadro T2000,5/27/19,57.1,114.2,3500,60
Quadro RTX 3000,5/27/19,88.32,198.7,6359,70
Quadro RTX 3000 Max-Q,5/27/19,77.76,175,5599,60
Quadro RTX 4000,5/27/19,99.84,249.6,7987,110
Quadro RTX 4000 Max-Q,5/27/19,88.32,220.8,7066,80
Quadro RTX 5000,5/27/19,98.88,296.6,9492,110
Quadro RTX 5000 Max-Q,5/27/19,86.4,259.2,8294,80
Quadro NVS 130M,5/9/07,1.6,1.6,19.2,10
Quadro NVS 135M,5/9/07,1.6,3.2,38.4,10
Quadro NVS 140M,5/9/07,1.6,3.2,38.4,10
Quadro NVS 150M,8/15/08,2.12,2.12,31.2,10
Quadro NVS 160M,8/15/08,2.12,4.24,34.8,12
Quadro NVS 320M,6/9/07,4.6,9.2,110.4,20
NVS 2100M,1/7/10,2.14,4.28,59.04,14
NVS 3100M,1/7/10,2.4,4.8,70.56,14
NVS 5100M,2/22/11,4.4,8.8,174.24,35
NVS 5200M,6/1/12,2.5,10,240,35
NVS 5400M,6/1/12,2.64,10.56,253.44,35
